#  theta sf
 0 0
 0.687549 4.34452e-06
 1.3751 1.72879e-05
 2.06265 3.87582e-05
 2.7502 6.86831e-05
 3.43775 0.000106991
 4.1253 0.000153609
 4.81285 0.000208429
 5.50039 0.000271415
 6.18794 0.00034246
 6.87549 0.000421509
 7.56304 0.000508489
 8.25059 0.000603311
 8.93814 0.000705903
 9.62569 0.000816193
 10.3132 0.000934108
 11.0008 0.00105958
 11.6883 0.00119251
 12.3759 0.00133285
 13.0634 0.00148049
 13.751 0.00163541
 14.4385 0.0017975
 15.1261 0.00196668
 15.8136 0.00214289
 16.5012 0.00232607
 17.1887 0.00251611
 17.8763 0.00271298
 18.5638 0.00291656
 19.2514 0.00312681
 19.9389 0.00334366
 20.6265 0.00356701
 21.314 0.0037968
 22.0016 0.00403296
 22.6891 0.00427542
 23.3767 0.00452411
 24.0642 0.00477894
 24.7518 0.00503984
 25.4393 0.00530675
 26.1269 0.00557961
 26.8144 0.00585831
 27.502 0.00614281
 28.1895 0.00643301
 28.8771 0.00672887
 29.5646 0.0070303
 30.2522 0.00733723
 30.9397 0.00764958
 31.6273 0.00796731
 32.3148 0.0082903
 33.0024 0.00861852
 33.6899 0.00895187
 34.3775 0.00929031
 35.065 0.00963375
 35.7526 0.0099821
 36.4401 0.0103353
 37.1277 0.0106933
 37.8152 0.011056
 38.5028 0.0114234
 39.1903 0.0117954
 39.8779 0.0121718
 40.5654 0.0125527
 41.253 0.0129379
 41.9405 0.0133275
 42.6281 0.0137213
 43.3156 0.0141192
 44.0032 0.0145212
 44.6907 0.0149272
 45.3783 0.0153371
 46.0658 0.015751
 46.7534 0.0161686
 47.4409 0.0165899
 48.1285 0.017015
 48.816 0.0174436
 49.5036 0.0178757
 50.1911 0.0183113
 50.8787 0.0187503
 51.5662 0.0191925
 52.2538 0.0196381
 52.9413 0.0200868
 53.6288 0.0205386
 54.3164 0.0209934
 55.0039 0.0214512
 55.6915 0.021912
 56.379 0.0223755
 57.0666 0.0228418
 57.7541 0.0233108
 58.4417 0.0237824
 59.1292 0.0242565
 59.8168 0.0247332
 60.5043 0.0252122
 61.1919 0.0256936
 61.8794 0.0261773
 62.567 0.0266632
 63.2545 0.0271512
 63.9421 0.0276413
 64.6296 0.0281334
 65.3172 0.0286274
 66.0047 0.0291233
 66.6923 0.029621
 67.3798 0.0301204
 68.0674 0.0306214
 68.7549 0.0311241
 69.4425 0.0316282
 70.13 0.0321339
 70.8176 0.0326409
 71.5051 0.0331492
 72.1927 0.0336588
 72.8802 0.0341695
 73.5678 0.0346814
 74.2553 0.0351943
 74.9429 0.0357081
 75.6304 0.0362229
 76.318 0.0367385
 77.0055 0.0372549
 77.6931 0.037772
 78.3806 0.0382897
 79.0682 0.0388079
 79.7557 0.0393267
 80.4433 0.0398459
 81.1308 0.0403654
 81.8184 0.0408852
 82.5059 0.0414053
 83.1935 0.0419255
